,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Souris,40,CA,1617938443,75,49.6172,-100.2612,45.0,9.22
1,Norman,1,US,1617938444,36,35.2226,-97.4395,66.99,10.36
2,Maragogi,89,BR,1617938444,74,-9.0122,-35.2225,79.57,8.97
3,Aykhal,98,RU,1617938445,90,66.0,111.5,2.48,23.73
4,Christchurch,100,NZ,1617938445,56,-43.5333,172.6333,68.0,9.22
5,Kingaroy,40,AU,1617938445,39,-26.5333,151.8333,80.6,12.66
6,Ushuaia,20,AR,1617938346,61,-54.8,-68.3,42.8,11.5
7,Newcastle,0,AU,1617938446,47,-32.9272,151.7765,84.0,16.11
8,Thompson,75,CA,1617938446,49,55.7435,-97.8558,42.8,5.75
9,Port,100,CD,1617938447,84,-7.0349,29.7638,70.66,6.33
10,Ancud,90,CL,1617938447,100,-41.8697,-73.8203,52.0,4.61
11,Atuona,0,PF,1617938448,73,-9.8,-139.0333,81.19,15.68
12,Biak,100,ID,1617938448,81,-0.9131,122.8766,79.61,1.95
13,Busselton,0,AU,1617938448,56,-33.65,115.3333,68.0,4.0
14,Mataura,0,NZ,1617938449,39,-46.1927,168.8643,67.24,1.61
15,Chokurdakh,100,RU,1617938449,88,70.6333,147.9167,1.11,9.78
16,Constitución,4,CL,1617938450,93,-35.3333,-72.4167,54.55,7.11
17,Esperance,90,AU,1617938450,68,-33.8667,121.9,66.2,13.8
18,Cherskiy,100,RU,1617938451,66,68.75,161.3,15.28,5.64
19,Lukulu,2,ZM,1617938451,73,-14.3707,23.242,59.41,4.38
20,Campbell,99,US,1617938271,97,38.9501,-84.3833,60.01,5.28
21,Pangody,100,RU,1617938452,94,65.85,74.4859,26.51,8.86
22,Kaitangata,0,NZ,1617938452,85,-46.2817,169.8464,57.99,5.99
23,Ormara,1,PK,1617938453,52,25.2088,64.6357,80.13,7.43
24,Sao,7,IN,1617938453,21,20.5113,76.2129,84.81,13.62
25,Grindavik,20,IS,1617938262,58,63.8424,-22.4338,23.0,12.66
26,Paka,40,MY,1617938454,66,4.6374,103.4368,87.8,2.3
27,Punta,89,PH,1617938454,65,8.9897,125.34,84.36,5.79
28,Vaini,40,TO,1617938455,78,-21.2,-175.2,78.8,9.22
29,Port,100,CD,1617938455,84,-7.0349,29.7638,70.66,6.33
30,Rikitea,98,PF,1617938456,66,-23.1203,-134.9692,76.91,5.84
31,Bonavista,100,CA,1617938456,100,48.6499,-53.1147,37.4,6.91
32,Antofagasta,90,CL,1617938251,88,-23.65,-70.4,62.6,16.11
33,Ahipara,100,NZ,1617938457,91,-35.1667,173.1667,63.27,12.24
34,Lüderitz,0,NA,1617938457,52,-26.6481,15.1594,72.21,8.41
35,Lorengau,100,PG,1617938458,88,-2.0226,147.2712,80.15,10.49
36,Kapaa,40,US,1617938217,61,22.0752,-159.319,77.0,17.27
37,Golden,40,US,1617938458,20,39.7555,-105.2211,59.0,11.5
38,Khatanga,100,RU,1617938459,89,71.9667,102.5,-0.76,6.29
39,Dikson,100,RU,1617938459,75,73.5069,80.5464,6.87,11.72
40,East,75,IS,1617938460,68,65.0,-15.0,21.2,9.22
41,Alta,20,NO,1617938460,79,69.9689,23.2717,12.2,5.75
42,Nikolskoye,0,RU,1617938460,80,59.7035,30.7861,32.0,6.71
43,Qaqortoq,75,GL,1617938461,75,60.7167,-46.0333,33.8,2.3
44,Porterville,1,US,1617938461,39,36.0652,-119.0168,64.4,4.61
45,Sheridan,90,US,1617938462,87,44.8333,-106.9173,36.0,14.97
46,Cabo,40,BR,1617938462,69,-8.2833,-35.0333,80.6,10.36
47,Egvekinot,80,RU,1617938463,92,66.3167,-179.1667,-4.5,3.67
48,Jamestown,75,US,1617938245,51,42.097,-79.2353,62.6,9.22
49,Pangnirtung,90,CA,1617938463,93,66.1451,-65.7125,21.2,7.0
50,Namatanai,100,PG,1617938464,84,-3.6667,152.4333,80.02,12.97
51,Barrow,1,US,1617938464,64,71.2906,-156.7887,-11.2,10.36
52,Carnarvon,90,AU,1617938224,42,-24.8667,113.6333,86.0,10.36
53,Ribeira,100,ES,1617938465,93,42.7461,-8.4439,48.2,4.61
54,Marquette,100,US,1617938465,95,46.5333,-87.6335,53.01,8.23
55,Yantal',100,RU,1617938465,89,56.8471,105.2542,33.4,9.93
56,Bluff,0,NZ,1617938466,61,-46.6,168.3333,57.45,0.72
57,Ekhabi,65,RU,1617938466,66,53.5102,142.9671,27.09,16.53
58,Albany,20,US,1617938467,51,42.6001,-73.9662,60.8,13.8
59,Ciechocinek,23,PL,1617938467,90,52.8791,18.7951,30.99,1.01
60,Ponta,29,PT,1617938467,87,38.7333,-28.2667,54.48,10.38
61,Kavaratti,57,IN,1617938355,64,10.5669,72.642,83.44,8.25
62,Kasangulu,20,CD,1617938468,88,-4.5911,15.1708,77.0,3.44
63,Tuktoyaktuk,90,CA,1617938468,77,69.4541,-133.0374,-5.8,9.22
64,Iqaluit,90,CA,1617938469,86,63.7506,-68.5145,19.4,5.75
65,Tiksi,100,RU,1617938469,99,71.6872,128.8694,-4.36,9.57
66,Kirakira,100,SB,1617938470,83,-10.4544,161.9205,79.38,9.48
67,Bathsheba,75,BB,1617938470,69,13.2167,-59.5167,78.8,13.8
68,Vila,0,PT,1617938470,87,42.0304,-8.1588,54.0,5.75
69,Cidreira,100,BR,1617938471,80,-30.1811,-50.2056,73.56,19.93
70,Cape,40,CL,1617938471,100,-36.413,-71.9028,55.0,3.44
71,Tecate,30,MX,1617938428,71,32.5667,-116.6333,60.01,4.7
72,Provideniya,0,RU,1617938472,61,64.3833,-173.3,6.8,3.8
73,Hirara,75,JP,1617938472,57,24.8,125.2833,77.0,9.22
74,Distrikt Brokopondo,100,SR,1617938473,91,4.75,-55.1667,76.39,6.58
75,Khovd,2,MN,1617938474,29,48.0056,91.6419,45.46,3.83
76,Riberalta,99,BO,1617938474,97,-10.9833,-66.1,73.72,2.24
77,Shakawe,0,BW,1617938475,55,-18.3667,21.85,61.43,5.48
78,Flin,0,FR,1617938475,74,48.4982,6.6557,32.0,2.3
79,Ati,54,TD,1617938476,8,13.2154,18.3353,81.86,11.63
80,Pisco,0,PE,1617938476,77,-13.7,-76.2167,68.0,10.36
81,Tasiilaq,100,GL,1617938476,62,65.6145,-37.6368,17.6,6.91
82,Castro,77,BR,1617938477,91,-24.7911,-50.0119,59.97,10.65
83,Ilulissat,90,GL,1617938477,93,69.2167,-51.1,32.0,6.91
84,Mandurah,0,AU,1617938478,61,-32.55,115.7,73.0,1.99
85,Starkville,1,US,1617938274,88,33.4504,-88.8184,63.0,3.44
86,Mehamn,40,NO,1617938478,69,71.0357,27.8492,33.8,13.8
